size,size_kb,vus,throughput_rps,latency_avg_ms,p90_ms,p95_ms,p99_ms,failed_rate,L_measured,L_calc,L_ratio
1kb,1,1,1885.0110384474813,0.41142170421290286,0.655213,0.767694,1.0488055999999992,0,1.0,0.7755344538981965,0.7755344538981965
1kb,1,10,6668.7967386562395,1.3655545132507814,1.761392,2.0451061999999998,2.910887359999993,0,10.0,9.10660548442412,0.9106605484424121
1kb,1,50,6453.300280649716,7.592370783728363,9.2376705,10.0067587,11.943356579999968,0,50.0,48.99584850943095,0.979916970188619
1kb,1,100,6328.087351001181,15.636790101089503,18.577251800000003,19.8134387,23.712518559999975,0,100.0,98.95097364896495,0.9895097364896495
1kb,1,200,6449.929036218286,30.79355075481415,35.8851086,38.5881708,44.68105131999997,0,200.0,198.61621714173728,0.9930810857086864
1kb,1,500,6571.287624819608,75.614889591811,82.6983232,89.62112139999999,97.77220472,0,500.0,496.88718822676856,0.9937743764535372
100kb,100,1,1154.3801649734535,0.702665257128418,1.0169892000000005,1.1823966,1.6471555199999994,0,1.0,0.8111428354450172,0.8111428354450172
100kb,100,10,3462.340181832881,2.661194740223795,3.5521241999999997,4.5988246,8.169487979999998,0,10.0,9.213961480759162,0.9213961480759162
100kb,100,50,3465.8242482127375,14.139837176192167,18.0746866,22.335814799999998,27.7368194,0,50.0,49.006190551026734,0.9801238110205347
100kb,100,100,3524.50765554543,28.052082094035278,36.6977918,39.7966715,44.975313439999994,0,100.0,98.86977809441622,0.9886977809441622
100kb,100,200,3519.5044406074812,56.46227926261805,68.40935880000002,71.1824038,79.72141124,0,200.0,198.71924259160392,0.9935962129580196
100kb,100,500,3477.9068710365186,142.58382705796697,151.5167183,156.0188766,171.35313598999997,0,500.0,495.89327182358596,0.9917865436471719
1mb,1024,1,243.66287098998092,3.7958106536752165,5.8550182,7.004141199999999,9.149628679999966,0,1.0,0.9248981216088594,0.9248981216088594
1mb,1024,10,670.5179649702419,14.544005575509189,19.8950623,21.98888705,25.056079339999993,0,10.0,9.752017021006274,0.9752017021006274
1mb,1024,50,679.3914344978303,73.18461751593604,81.0930396,83.7280928,91.51314447999998,0,50.0,49.721002277326825,0.9944200455465365
1mb,1024,100,693.4915505807538,143.41479770837296,155.43657019999998,160.958483,174.5245604,0,100.0,99.4569504390047,0.994569504390047
1mb,1024,200,682.8203062389762,290.65071669116884,306.5532996,312.34272254999996,756.400980369992,0,200.0,198.4622113796418,0.992311056898209
1mb,1024,500,736.0450564727093,671.2885013209069,685.8079208,732.8263632,1731.6864741999977,0,500.0,494.09858286422735,0.9881971657284547
10mb,10240,1,25.489530867772356,38.87689629315958,51.840978800000016,58.9450234,70.77055561999998,0,1.0,0.9909538481076758,0.9909538481076758
10mb,10240,10,71.94455006274292,138.31570759862393,161.044062,167.35936034999997,236.89599164999998,0,10.0,9.95106134979291,0.995106134979291
10mb,10240,50,79.75748122743802,621.9437683840731,660.3052167999999,672.6267732499995,853.7018262500002,0,50.0,49.604668431414765,0.9920933686282953
10mb,10240,100,81.45256521148748,1209.5305506444897,1312.4933308,1442.3674703999993,1787.1619140799999,0,100.0,98.51936605165666,0.9851936605165666
10mb,10240,200,73.42753387836272,2621.424016509319,3076.6639999999998,3902.647032,4596.52858615,0,200.0,192.4847007817917,0.9624235039089585
10mb,10240,500,71.25161140296503,6547.180671870608,11956.829880400002,13905.876061999996,15147.366362159997,0,500.0,466.49717301712803,0.932994346034256
